Event time,Coef (β̂ₖ),CI lower,CI upper,p-value,Signif.
≤ -15 days (binned),0.0042,0.0025,0.0060,0.0000,***
-14 days,0.0037,-0.0072,0.0146,0.5052,
-13 days,0.0039,-0.0006,0.0085,0.0856,*
-12 days,0.0008,-0.0097,0.0112,0.8877,
-9 days,0.0023,nan,nan,nan,
-8 days,0.0086,nan,nan,nan,
-7 days,0.0015,-0.0021,0.0051,0.4188,
-6 days,0.0006,-0.0105,0.0117,0.9156,
-5 days,0.0029,-0.0060,0.0118,0.5231,
-2 days,0.0084,-0.0058,0.0225,0.2463,
+0 days,0.0087,-0.0047,0.0220,0.2050,
+1 days,-0.0033,nan,nan,nan,
+2 days,0.0037,0.0009,0.0065,0.0103,**
+5 days,-0.0067,-0.0237,0.0103,0.4398,
+6 days,-0.0156,-0.0275,-0.0036,0.0108,**
+7 days,0.0103,nan,nan,nan,
+8 days,0.0184,nan,nan,nan,
+9 days,0.0232,nan,nan,nan,
+12 days,0.0121,0.0005,0.0237,0.0404,**
+13 days,-0.0005,-0.0106,0.0096,0.9268,
+14 days,-0.0043,-0.0117,0.0030,0.2501,
+15 days,0.0040,nan,nan,nan,
+16 days,0.0099,nan,nan,nan,
+19 days,-0.0014,nan,nan,nan,
+20 days,-0.0011,-0.0083,0.0061,0.7652,
+21 days,0.0064,nan,nan,nan,
+22 days,0.0141,0.0105,0.0178,0.0000,***
+23 days,0.0025,nan,nan,nan,
+26 days,0.0038,nan,nan,nan,
+27 days,0.0007,nan,nan,nan,
+28 days,0.0083,nan,nan,nan,
+29 days,-0.0058,-0.0135,0.0019,0.1421,
≥ +30 days (binned),0.0043,nan,nan,nan,
